id,county_name,county_label,district_name,use_elementary_school_district,code
1,Albany,Albany,Albany,,5
2,Albany,Albany,Berne-Knox-Westerlo,,50
3,Albany,Albany,Bethlehem,,51
4,Albany,Albany,Cairo-Durham,,76
5,Albany,Albany,Cohoes,,122
6,Albany,Albany,Duanesburg,,153
7,Albany,Albany,Green Island,,236
8,Albany,Albany,Greenville,,240
9,Albany,Albany,Guilderland,,246
10,Albany,Albany,Menands,,388
11,Albany,Albany,Middleburgh,,393
12,Albany,Albany,Mohonasen,,402
13,Albany,Albany,Niskayuna,,439
14,Albany,Albany,North Colonie (including Maplewood),,443
15,Albany,Albany,Ravena-Coeymans-Selkirk,,524
16,Albany,Albany,Schalmont,,568
17,Albany,Albany,Schoharie,,572
18,Albany,Albany,South Colonie,,595
19,Albany,Albany,Voorheesville,,660
20,Albany,Albany,Watervliet,,674
21,Allegany,Allegany,Alfred-Almond,,10
22,Allegany,Allegany,Andover,,17
23,Allegany,Allegany,Arkport,,21
24,Allegany,Allegany,Belfast,,44
25,Allegany,Allegany,Bolivar-Richburg,,54
26,Allegany,Allegany,Canaseraga,,83
27,Allegany,Allegany,Canisteo-Greenwood,,86
28,Allegany,Allegany,Cuba-Rushford,,138
29,Allegany,Allegany,Dalton-Nunda (Keshequa),,320
30,Allegany,Allegany,Fillmore,,192
31,Allegany,Allegany,Friendship,,209
32,Allegany,Allegany,Genesee Valley,,18
33,Allegany,Allegany,Hinsdale,,277
34,Allegany,Allegany,Letchworth,,339
35,Allegany,Allegany,Pioneer,,498
36,Allegany,Allegany,Portville,,512
37,Allegany,Allegany,Scio,,575
38,Allegany,Allegany,Wellsville,,683
39,Allegany,Allegany,Whitesville,,702
40,Bronx,Bronx,Bronx,,68
41,Broome,Broome,Afton,,3
42,Broome,Broome,Bainbridge-Guilford,,31
43,Broome,Broome,Binghamton,,53
44,Broome,Broome,Chenango Forks,,107
45,Broome,Broome,Chenango Valley,,108
46,Broome,Broome,Cincinnatus,,113
47,Broome,Broome,Deposit,,146
48,Broome,Broome,Greene,,238
49,Broome,Broome,Harpursville,,259
50,Broome,Broome,Johnson City,,313
51,Broome,Broome,Maine Endwell,,364
52,Broome,Broome,Marathon,,372
53,Broome,Broome,Newark Valley,,432
54,Broome,Broome,South Mountain-Hickory,,720
55,Broome,Broome,Susquehanna Valley,,627
56,Broome,Broome,Union-Endicott,,651
57,Broome,Broome,Vestal,,658
58,Broome,Broome,Whitney Point,,703
59,Broome,Broome,Windsor,,710
60,Cattaraugus,Cattaraugus,Allegany-Limestone,,11
61,Cattaraugus,Cattaraugus,Cattaraugus-Little Valley,,94
62,Cattaraugus,Cattaraugus,Cuba-Rushford,,138
63,Cattaraugus,Cattaraugus,Ellicottville,,181
64,Cattaraugus,Cattaraugus,Forestville,,198
65,Cattaraugus,Cattaraugus,Franklinville,,205
66,Cattaraugus,Cattaraugus,Frewsburg,,208
67,Cattaraugus,Cattaraugus,Gowanda,,230
68,Cattaraugus,Cattaraugus,Hinsdale,,277
69,Cattaraugus,Cattaraugus,Olean,,462
70,Cattaraugus,Cattaraugus,Pine Valley,,497
71,Cattaraugus,Cattaraugus,Pioneer,,498
72,Cattaraugus,Cattaraugus,Portville,,512
73,Cattaraugus,Cattaraugus,Randolph,,522
74,Cattaraugus,Cattaraugus,Salamanca,,556
75,Cattaraugus,Cattaraugus,Springville-Griffith Institute,,244
76,Cattaraugus,Cattaraugus,Ten Broeck Academy and Franklinville,,205
77,Cattaraugus,Cattaraugus,West Valley,,690
78,Cayuga,Cayuga,Auburn,,25
79,Cayuga,Cayuga,Cato-Meridian,,92
80,Cayuga,Cayuga,Groton,,245
81,Cayuga,Cayuga,Hannibal,,257
82,Cayuga,Cayuga,Homer,,281
83,Cayuga,Cayuga,Jordan-Elbridge,,315
84,Cayuga,Cayuga,Moravia,,407
85,Cayuga,Cayuga,Oswego,,472
86,Cayuga,Cayuga,Port Byron,,507
87,Cayuga,Cayuga,Red Creek,,525
88,Cayuga,Cayuga,Skaneateles,,588
89,Cayuga,Cayuga,Southern Cayuga,,609
90,Cayuga,Cayuga,Union Springs,,650
91,Cayuga,Cayuga,Weedsport,,681
92,Chautauqua,Chautauqua,Bemus Point,,48
93,Chautauqua,Chautauqua,Brocton,,67
94,Chautauqua,Chautauqua,Cassadaga Valley,,91
95,Chautauqua,Chautauqua,Chautauqua Lake,,104
96,Chautauqua,Chautauqua,Clymer,,119
97,Chautauqua,Chautauqua,Dunkirk,,155
98,Chautauqua,Chautauqua,Falconer,,189
99,Chautauqua,Chautauqua,Forestville,,198
100,Chautauqua,Chautauqua,Fredonia,,206
101,Chautauqua,Chautauqua,Frewsburg,,208
102,Chautauqua,Chautauqua,Gowanda,,230
103,Chautauqua,Chautauqua,Jamestown,,306
104,Chautauqua,Chautauqua,Panama,,479
105,Chautauqua,Chautauqua,Pine Valley,,497
106,Chautauqua,Chautauqua,Randolph,,522
107,Chautauqua,Chautauqua,Ripley,,536
108,Chautauqua,Chautauqua,Sherman,,583
109,Chautauqua,Chautauqua,Silver Creek,,587
110,Chautauqua,Chautauqua,Southwestern,,611
111,Chautauqua,Chautauqua,Westfield Academy and Central,,692
112,Chemung,Chemung,Corning-Painted Post,,132
113,Chemung,Chemung,Elmira,,182
114,Chemung,Chemung,Elmira Heights,,183
115,Chemung,Chemung,Horseheads,,287
116,Chemung,Chemung,Newfield,,436
117,Chemung,Chemung,Odessa Montour,,460
118,Chemung,Chemung,Spencer Van Etten,,613
119,Chemung,Chemung,Watkins Glen,,675
120,Chemung,Chemung,Waverly,,676
121,Chenango,Chenango,Afton,,3
122,Chenango,Chenango,Bainbridge-Guilford,,31
123,Chenango,Chenango,Brookfield,,70
124,Chenango,Chenango,Chenango Forks,,107
125,Chenango,Chenango,Cincinnatus,,113
126,Chenango,Chenango,DeRuyter,,141
127,Chenango,Chenango,Gilbertsville-Mount. Upton,,222
128,Chenango,Chenango,Greene,,238
129,Chenango,Chenango,Harpursville,,259
130,Chenango,Chenango,Norwich,,455
131,Chenango,Chenango,Otselic Valley,,606
132,Chenango,Chenango,Oxford Academy and Central,,475
133,Chenango,Chenango,Sherburne-Earlville,,582
134,Chenango,Chenango,Sidney,,586
135,Chenango,Chenango,Unadilla Valley,,422
136,Chenango,Chenango,Whitney Point,,703
137,Clinton,Clinton,AuSable Valley,,26
138,Clinton,Clinton,Beekmantown,,43
139,Clinton,Clinton,Chateaugay,,102
140,Clinton,Clinton,Chazy,,105
141,Clinton,Clinton,Northeastern Clinton,,418
142,Clinton,Clinton,Northern Adirondack,,453
143,Clinton,Clinton,Peru,,492
144,Clinton,Clinton,Plattsburgh,,503
145,Clinton,Clinton,Saranac,,560
146,Clinton,Clinton,Saranac Lake,,561
147,Columbia,Columbia,Chatham,,103
148,Columbia,Columbia,East Greenbush,,158
149,Columbia,Columbia,Germantown,,221
150,Columbia,Columbia,Hudson,,289
151,Columbia,Columbia,Ichabod Crane,,294
152,Columbia,Columbia,New Lebanon,,426
153,Columbia,Columbia,Pine Plains,,496
154,Columbia,Columbia,Red Hook,,526
155,Columbia,Columbia,Schodack,,571
156,Columbia,Columbia,Taconic Hills,,632
157,Columbia,Columbia,Webutuck,,680
158,Cortland,Cortland,Cincinnatus,,113
159,Cortland,Cortland,Cortland,,134
160,Cortland,Cortland,DeRuyter,,141
161,Cortland,Cortland,Dryden,,152
162,Cortland,Cortland,Fabius-Pompey,,187
163,Cortland,Cortland,Greene,,238
164,Cortland,Cortland,Groton,,245
165,Cortland,Cortland,Homer,,281
166,Cortland,Cortland,Marathon,,372
167,Cortland,Cortland,McGraw,,385
168,Cortland,Cortland,Newark Valley,,432
169,Cortland,Cortland,Tully,,646
170,Cortland,Cortland,Whitney Point,,703
171,Delaware,Delaware,Andes,,16
172,Delaware,Delaware,Bainbridge Guilford,,31
173,Delaware,Delaware,Charlotte Valley,,101
174,Delaware,Delaware,Delhi,,144
175,Delaware,Delaware,Deposit,,146
176,Delaware,Delaware,Downsville,,150
177,Delaware,Delaware,Franklin,,203
178,Delaware,Delaware,Gilboa-Conesville,,223
179,Delaware,Delaware,Hancock,,256
180,Delaware,Delaware,Jefferson,,310
181,Delaware,Delaware,Livingston Manor,,349
182,Delaware,Delaware,Margaretville,,375
183,Delaware,Delaware,Oneonta,,464
184,Delaware,Delaware,Roscoe,,545
185,Delaware,Delaware,Roxbury,,547
186,Delaware,Delaware,Sidney,,586
187,Delaware,Delaware,South Kortright,,601
188,Delaware,Delaware,Stamford,,620
189,Delaware,Delaware,Sullivan West,,143
190,Delaware,Delaware,Unatego,,649
191,Delaware,Delaware,Walton,,663
192,Delaware,Delaware,Worcester,,711
193,Dutchess,Dutchess,Arlington,,22
194,Dutchess,Dutchess,Beacon,,40
195,Dutchess,Dutchess,Carmel,,89
196,Dutchess,Dutchess,Dover,,149
197,Dutchess,Dutchess,Haldane,,249
198,Dutchess,Dutchess,Hyde Park,,293
199,Dutchess,Dutchess,Millbrook,,396
200,Dutchess,Dutchess,Pawling,,483
201,Dutchess,Dutchess,Pine Plains,,496
202,Dutchess,Dutchess,Poughkeepsie,,514
203,Dutchess,Dutchess,Red Hook,,526
204,Dutchess,Dutchess,Rhinebeck,,531
205,Dutchess,Dutchess,Spackenkill,,612
206,Dutchess,Dutchess,Taconic Hills,,632
207,Dutchess,Dutchess,Wappingers,,665
208,Dutchess,Dutchess,Webutuck,,680
209,Erie,Erie,Akron,,4
210,Erie,Erie,Alden,,7
211,Erie,Erie,Amherst,,719
212,Erie,Erie,Attica,,24
213,Erie,Erie,Buffalo,,73
214,Erie,Erie,Cheektowaga,,106
215,Erie,Erie,Cheektowaga-Sloan,,589
216,Erie,Erie,Clarence,,114
217,Erie,Erie,Cleveland Hill,,115
218,Erie,Erie,Depew,,145
219,Erie,Erie,East Aurora,,156
220,Erie,Erie,Eden,,171
221,Erie,Erie,Frontier,,210
222,Erie,Erie,Gowanda,,230
223,Erie,Erie,Grand Island,,232
224,Erie,Erie,Hamburg,,251
225,Erie,Erie,Holland,,278
226,Erie,Erie,Iroquois,,300
227,Erie,Erie,Kenmore-Town of Tonawanda,,319
228,Erie,Erie,Lackawanna,,326
229,Erie,Erie,Lake Shore,,330
230,Erie,Erie,Lancaster,,332
231,Erie,Erie,Maryvale,,378
232,Erie,Erie,North Collins,,442
233,Erie,Erie,Orchard Park,,468
234,Erie,Erie,Pioneer,,498
235,Erie,Erie,Silver Creek,,587
236,Erie,Erie,Springville-Griffith Institute,,244
237,Erie,Erie,Sweet Home,,628
238,Erie,Erie,Tonawanda City,,638
239,Erie,Erie,West Seneca,,689
240,Erie,Erie,Williamsville,,706
241,Essex,Essex,AuSable Valley,,26
242,Essex,Essex,Boquet Valley,,179
243,Essex,Essex,Crown Point,,137
244,Essex,Essex,Keene,,317
245,Essex,Essex,Lake Placid,,328
246,Essex,Essex,Minerva,,399
247,Essex,Essex,Moriah,,408
248,Essex,Essex,Newcomb,,434
249,Essex,Essex,Putnam,,517
250,Essex,Essex,Saranac Lake,,561
251,Essex,Essex,Schroon Lake,,573
252,Essex,Essex,Ticonderoga,,636
253,Essex,Essex,Willsboro,,707
254,Franklin,Franklin,AuSable Valley,,26
255,Franklin,Franklin,Brasher Falls,,58
256,Franklin,Franklin,Brushton-Moira,,72
257,Franklin,Franklin,Chateaugay,,102
258,Franklin,Franklin,Malone,,365
259,Franklin,Franklin,Northern Adirondack,,453
260,Franklin,Franklin,Salmon River,,558
261,Franklin,Franklin,Saranac Lake,,561
262,Franklin,Franklin,St. Regis Falls,,619
263,Franklin,Franklin,Tupper Lake,,647
264,Fulton,Fulton,Amsterdam,,15
265,Fulton,Fulton,Broadalbin-Perth,,65
266,Fulton,Fulton,Dolgeville,,148
267,Fulton,Fulton,Edinburg,,173
268,Fulton,Fulton,Fonda-Fultonville,,197
269,Fulton,Fulton,Fort Plain,,201
270,Fulton,Fulton,Galway,,212
271,Fulton,Fulton,Gloversville,,227
272,Fulton,Fulton,Johnstown,,314
273,Fulton,Fulton,Mayfield,,383
274,Fulton,Fulton,Northville,,454
275,Fulton,Fulton,Oppenheim-Ephratah-St.Johnsville,,467
276,Fulton,Fulton,Wheelerville,,698
277,Genesee,Genesee,Akron,,4
278,Genesee,Genesee,Albion,,6
279,Genesee,Genesee,Alden,,7
280,Genesee,Genesee,Alexander,,8
281,Genesee,Genesee,Attica,,24
282,Genesee,Genesee,Batavia,,36
283,Genesee,Genesee,Brockport,,66
284,Genesee,Genesee,Byron Bergen,,75
285,Genesee,Genesee,Caledonia-Mumford,,77
286,Genesee,Genesee,Elba,,177
287,Genesee,Genesee,Iroquois,,300
288,Genesee,Genesee,Le Roy,,338
289,Genesee,Genesee,Medina,,387
290,Genesee,Genesee,Oakfield-Alabama,,458
291,Genesee,Genesee,Pavilion,,482
292,Genesee,Genesee,Pembroke,,487
293,Genesee,Genesee,Royalton-Hartland,,548
294,Genesee,Genesee,Wyoming,,714
295,Greene,Greene,Cairo-Durham,,76
296,Greene,Greene,Catskill,,93
297,Greene,Greene,Coxsackie-Athens,,135
298,Greene,Greene,Gilboa-Conesville,,223
299,Greene,Greene,Greenville,,240
300,Greene,Greene,Hunter-Tannersville,,291
301,Greene,Greene,Margaretville,,375
302,Greene,Greene,Onteora,,466
303,Greene,Greene,Ravena-Coeymans-Selkirk,,524
304,Greene,Greene,Windham-Ashland-Jewett,,709
305,Hamilton,Hamilton,Indian Lake,,296
306,Hamilton,Hamilton,Inlet,,298
307,Hamilton,Hamilton,Lake Pleasant,,329
308,Hamilton,Hamilton,Long Lake,,354
309,Hamilton,Hamilton,Northville,,454
310,Hamilton,Hamilton,Piseco,,499
311,Hamilton,Hamilton,Poland,,506
312,Hamilton,Hamilton,Raquette Lake,,523
313,Hamilton,Hamilton,Wells,,682
314,Herkimer,Herkimer,Adirondack,,2
315,Herkimer,Herkimer,Central Valley,,295
316,Herkimer,Herkimer,Cherry Valley-Springfield,,616
317,Herkimer,Herkimer,Dolgeville,,148
318,Herkimer,Herkimer,Fort Plain,,201
319,Herkimer,Herkimer,Frankfort-Schuyler,,202
320,Herkimer,Herkimer,Herkimer,,268
321,Herkimer,Herkimer,Holland Patent,,279
322,Herkimer,Herkimer,Little Falls,,346
323,Herkimer,Herkimer,Mount Markham,,412
324,Herkimer,Herkimer,New Hartford,,424
325,Herkimer,Herkimer,Oppenheim-Ephratah-St. Johnsville,,467
326,Herkimer,Herkimer,Owen D. Young (Van Hornesville),,474
327,Herkimer,Herkimer,Poland,,506
328,Herkimer,Herkimer,Remsen,,528
329,Herkimer,Herkimer,Richfield Springs,,533
330,Herkimer,Herkimer,Sauquoit Valley,,564
331,Herkimer,Herkimer,Town of Webb,,639
332,Herkimer,Herkimer,West Canada Valley,,685
333,Jefferson,Jefferson,Alexandria,,9
334,Jefferson,Jefferson,Belleville Henderson,,45
335,Jefferson,Jefferson,Carthage,,90
336,Jefferson,Jefferson,Copenhagen,,129
337,Jefferson,Jefferson,General Brown,,217
338,Jefferson,Jefferson,Gouverneur,,229
339,Jefferson,Jefferson,Hammond,,253
340,Jefferson,Jefferson,Indian River,,297
341,Jefferson,Jefferson,LaFargeville,,324
342,Jefferson,Jefferson,Lyme,,356
343,Jefferson,Jefferson,Sackets Harbor,,288
344,Jefferson,Jefferson,Sandy Creek,,559
345,Jefferson,Jefferson,South Jefferson,,600
346,Jefferson,Jefferson,Thousand Islands,,634
347,Jefferson,Jefferson,Watertown,,672
348,Kings,Kings (Brooklyn),Brooklyn,,71
349,Lewis,Lewis,Adirondack,,2
350,Lewis,Lewis,Beaver River,,41
351,Lewis,Lewis,Camden,,79
352,Lewis,Lewis,Carthage,,90
353,Lewis,Lewis,Copenhagen,,129
354,Lewis,Lewis,Harrisville,,261
355,Lewis,Lewis,Lowville Academy and Central,,355
356,Lewis,Lewis,Sandy Creek,,559
357,Lewis,Lewis,South Jefferson,,600
358,Lewis,Lewis,South Lewis,,602
359,Livingston,Livingston,Avon,,29
360,Livingston,Livingston,Caledonia-Mumford,,77
361,Livingston,Livingston,Canaseraga,,83
362,Livingston,Livingston,Dalton-Nunda (Keshequa),,320
363,Livingston,Livingston,Dansville,,140
364,Livingston,Livingston,Geneseo,,218
365,Livingston,Livingston,Honeoye,,282
366,Livingston,Livingston,Honeoye Falls-Lima,,283
367,Livingston,Livingston,Le Roy,,338
368,Livingston,Livingston,Livonia,,350
369,Livingston,Livingston,Mount Morris,,413
370,Livingston,Livingston,Naples,,420
371,Livingston,Livingston,Pavilion,,482
372,Livingston,Livingston,Perry,,490
373,Livingston,Livingston,Wayland-Cohocton,,677
374,Livingston,Livingston,Wheatland-Chili,,697
375,Livingston,Livingston,York,,716
376,Madison,Madison,Brookfield,,70
377,Madison,Madison,Canastota,,84
378,Madison,Madison,Cazenovia,,95
379,Madison,Madison,Chittenango,,111
380,Madison,Madison,DeRuyter,,141
381,Madison,Madison,East Syracuse-Minoa,,167
382,Madison,Madison,Edmeston,,174
383,Madison,Madison,Fabius-Pompey,,187
384,Madison,Madison,Fayetteville-Manlius,,370
385,Madison,Madison,Hamilton,,252
386,Madison,Madison,Madison,,361
387,Madison,Madison,Morrisville-Eaton,,411
388,Madison,Madison,Mount Markham,,412
389,Madison,Madison,Oneida,,463
390,Madison,Madison,Otselic Valley,,606
391,Madison,Madison,Sherburne-Earlville,,582
392,Madison,Madison,Stockbridge Valley,,624
393,Madison,Madison,Unadilla Valley,,422
394,Madison,Madison,Vernon-Verona-Sherrill,,584
395,Madison,Madison,Waterville,,673
396,New York,Manhattan (see New York),Manhattan,,369
397,Monroe,Monroe,Avon,,29
398,Monroe,Monroe,Brighton,,63
399,Monroe,Monroe,Brockport,,66
400,Monroe,Monroe,Byron Bergen,,75
401,Monroe,Monroe,Caledonia-Mumford,,77
402,Monroe,Monroe,Churchville-Chili,,112
403,Monroe,Monroe,East Irondequoit,,160
404,Monroe,Monroe,East Rochester,,165
405,Monroe,Monroe,Fairport,,188
406,Monroe,Monroe,Gates Chili,,216
407,Monroe,Monroe,Greece,,235
408,Monroe,Monroe,Hilton,,276
409,Monroe,Monroe,Holley,,280
410,Monroe,Monroe,Honeoye Falls-Lima,,283
411,Monroe,Monroe,Kendall,,318
412,Monroe,Monroe,Penfield,,488
413,Monroe,Monroe,Pittsford,,500
414,Monroe,Monroe,Rochester,,538
415,Monroe,Monroe,Rush-Henrietta,,549
416,Monroe,Monroe,Spencerport,,614
417,Monroe,Monroe,Victor,,659
418,Monroe,Monroe,Wayne,,678
419,Monroe,Monroe,Webster,,679
420,Monroe,Monroe,West Irondequoit,,299
421,Monroe,Monroe,Wheatland-Chili,,697
422,Montgomery,Montgomery,Amsterdam,,15
423,Montgomery,Montgomery,Broadalbin-Perth,,65
424,Montgomery,Montgomery,Canajoharie,,81
425,Montgomery,Montgomery,Cherry Valley-Springfield,,616
426,Montgomery,Montgomery,Cobleskill-Richmondville,,120
427,Montgomery,Montgomery,Duanesburg,,153
428,Montgomery,Montgomery,Fonda-Fultonville,,197
429,Montgomery,Montgomery,Fort Plain,,201
430,Montgomery,Montgomery,Galway,,212
431,Montgomery,Montgomery,Johnstown,,314
432,Montgomery,Montgomery,Oppenheim-Ephratah-St. Johnsville,,467
433,Montgomery,Montgomery,Owen D. Young (Van Hornesville),,474
434,Montgomery,Montgomery,Schalmont,,568
435,Montgomery,Montgomery,Schoharie,,572
436,Montgomery,Montgomery,Scotia-Glenville,,576
437,Montgomery,Montgomery,Sharon Springs,,579
438,Nassau,Nassau,Amityville,,14
439,Nassau,Nassau,Baldwin,,32
440,Nassau,Nassau,Bellmore,,46
441,Nassau,Nassau,Bellmore-Merrick CHS,Bellmore,46
442,Nassau,Nassau,Bellmore-Merrick CHS,Merrick,389
443,Nassau,Nassau,Bellmore-Merrick CHS,North Bellmore,441
444,Nassau,Nassau,Bellmore-Merrick CHS,North Merrick,444
445,Nassau,Nassau,Bethpage,,52
446,Nassau,Nassau,Carle Place,,88
447,Nassau,Nassau,Cold Spring Harbor,,123
448,Nassau,Nassau,East Meadow,,162
449,Nassau,Nassau,East Rockaway,,166
450,Nassau,Nassau,East Williston,,168
451,Nassau,Nassau,Elmont,,184
452,Nassau,Nassau,Farmingdale,,191
453,Nassau,Nassau,Floral Park-Bellerose,,195
454,Nassau,Nassau,Franklin Square,,204
455,Nassau,Nassau,Freeport,,207
456,Nassau,Nassau,Garden City,,214
457,Nassau,Nassau,Glen Cove,,224
458,Nassau,Nassau,Great Neck,,234
459,Nassau,Nassau,Hempstead,,265
460,Nassau,Nassau,Herricks,,270
461,Nassau,Nassau,Hewlett-Woodmere,,272
462,Nassau,Nassau,Hicksville,,273
463,Nassau,Nassau,Island Park,,302
464,Nassau,Nassau,Island Trees,,303
465,Nassau,Nassau,Jericho,,311
466,Nassau,Nassau,Lawrence,,337
467,Nassau,Nassau,Levittown,,340
468,Nassau,Nassau,Locust Valley,,352
469,Nassau,Nassau,Long Beach,,353
470,Nassau,Nassau,Lynbrook,,357
471,Nassau,Nassau,Malverne,,366
472,Nassau,Nassau,Manhasset,,368
473,Nassau,Nassau,Massapequa,,379
474,Nassau,Nassau,Merrick,,389
475,Nassau,Nassau,Mineola,,398
476,Nassau,Nassau,New Hyde Park-Garden City Park,,425
477,Nassau,Nassau,North Bellmore,,441
478,Nassau,Nassau,North Merrick,,444
479,Nassau,Nassau,North Shore,,448
480,Nassau,Nassau,Oceanside,,459
481,Nassau,Nassau,Oyster Bay-East Norwich,,476
482,Nassau,Nassau,Plainedge,,501
483,Nassau,Nassau,Plainview-Old Bethpage,,502
484,Nassau,Nassau,Port Washington,,511
485,Nassau,Nassau,Rockville Centre,,539
486,Nassau,Nassau,Roosevelt,,544
487,Nassau,Nassau,Roslyn,,546
488,Nassau,Nassau,Seaford,,577
489,Nassau,Nassau,Sewanhaka CHS,Elmont,184
490,Nassau,Nassau,Sewanhaka CHS,Floral Park - Bellrose,195
491,Nassau,Nassau,Sewanhaka CHS,Franklin Square,204
492,Nassau,Nassau,Sewanhaka CHS,New Hyde Park - Garden City,424
493,Nassau,Nassau,Syosset,,630
494,Nassau,Nassau,Uniondale,,652
495,Nassau,Nassau,Valley Stream CHS,Valley Stream 13,655
496,Nassau,Nassau,Valley Stream CHS,Valley Stream 24,656
497,Nassau,Nassau,Valley Stream CHS,Valley Stream 30,657
498,Nassau,Nassau,Wantagh,,664
499,Nassau,Nassau,West Hempstead,,687
500,Nassau,Nassau,Westbury,,691
501,New York,New York (Manhattan),Manhattan,,369
502,Niagara,Niagara,Akron,,4
503,Niagara,Niagara,Barker,,35
504,Niagara,Niagara,Lewiston-Porter,,341
505,Niagara,Niagara,Lockport,,351
506,Niagara,Niagara,Medina,,387
507,Niagara,Niagara,Newfane,,435
508,Niagara,Niagara,Niagara Falls,,437
509,Niagara,Niagara,Niagara Wheatfield,,438
510,Niagara,Niagara,North Tonawanda,,450
511,Niagara,Niagara,Royalton-Hartland,,548
512,Niagara,Niagara,Starpoint,,621
513,Niagara,Niagara,Wilson,,708
514,Oneida,Oneida,Adirondack,,2
